,dep,version,filepath,type,condition,status
0,kenlm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/requirements.txt,*,*@*,*
1,jieba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/requirements.txt,*,*@*,*
2,pypinyin,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/requirements.txt,*,*@*,*
3,six,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/requirements.txt,*,*@*,*
4,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/requirements.txt,*,*@*,*
5,loguru,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/requirements.txt,*,*@*,*
6,paddlenlp,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/requirements-dev.txt,*,*@*,*
7,pytorch-lightning,>=1.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/requirements-dev.txt,*,*@*,*
8,jieba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/requirements-dev.txt,*,*@*,*
9,scikit-learn,>=0.19.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/requirements-dev.txt,*,*@*,*
10,pypinyin,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/requirements-dev.txt,*,*@*,*
11,torch,>=1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/requirements-dev.txt,*,*@*,*
12,transformers,>=4.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/requirements-dev.txt,*,*@*,*
13,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/requirements-dev.txt,*,*@*,*
14,tensorboardX,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/requirements-dev.txt,*,*@*,*
15,six,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/requirements-dev.txt,*,*@*,*
16,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/requirements-dev.txt,*,*@*,*
17,loguru,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/requirements-dev.txt,*,*@*,*
18,paddlepaddle-gpu,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/requirements-dev.txt,*,*@*,*
19,jieba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/setup.py,install_requires,@*,*
20,pypinyin,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/setup.py,install_requires,@*,*
21,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/setup.py,install_requires,@*,*
22,six,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/setup.py,install_requires,@*,*
23,loguru,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/setup.py,install_requires,@*,*
24,kenlm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/pycorrector/setup.py,install_requires,@*,*
